,Ticker,Weight (%),Asset Class
1204,GIII,0.0,Equity
1205,ASIX,0.0,Equity
1206,DO,0.0,Equity
1207,RRD,0.0,Equity
1208,GCI,0.0,Equity
1209,ANF,0.0,Equity
1210,PKY,0.0,Equity
1211,LKSD,0.0,Equity
1212,FWONA,0.0,Equity
1213,HTZ,0.0,Equity
1214,DFIN,0.0,Equity
1215,GNC,0.0,Equity
1216,FOSL,0.0,Equity
1217,CBSA,0.0,Equity
1218,ASNA,0.0,Equity
1219,-,0.0,Equity
1220,LENB,0.0,Equity
1221,NVAX,0.0,Equity
1222,VIA,0.0,Equity
1223,LBTYB,0.0,Equity
1224,AQB,0.0,Equity
1225, ,,
