,Ticker
780,LEN
782,SLG
783,ANSS
784,DRE
785,UDR
787,ALK
788,CBG
789,IT
790,WYN
791,FMC
792,CA
793,VNTV
794,WYNN
795,AJG
796,TIF
797,LEA
798,EQT
799,TRGP
800,CHRW
801,FBHS
802,BG
803,RE
804,TSS
805,KSU
806,SNA
808,EXPD
809,TSO
810,PKG
811,CIT
812,GWW
813,HOG
814,CDW
815,EXR
816,PNW
817,FL
818,LKQ
819,XYL
820,DPZ
821,IPG
822,SCG
823,RJF
824,ETFC
825,HRL
826,FANG
827,BFB
828,WU
829,QRVO
830,SIVB
831,DOX
832,LNT
833,CDNS
834,ARMK
835,ALV
836,URI
837,SPLK
838,AMTD
839,REG
840,CDK
842,FRT
844,HII
845,DVMT
846,MSCI
848,AMD
849,TRMB
850,ALLY
851,AMG
853,ATO
854,IRM
855,INGR
856,BR
857,Y
858,SEE
859,CSGP
860,STLD
861,UGI
862,FFIV
863,AKAM
864,SIRI
865,GT
866,VAL
867,MTN
868,TMK
869,MOS
870,IEX
871,HDS
872,BWA
873,ZION
874,NCLH
875,LUK
876,NI
877,AOS
878,CCK
879,HBI
880,CC
881,VRSN
882,KIM
883,EWBC
884,NVR
885,CGNX
886,JKHY
887,NDAQ
888,CBOE
889,RGA
890,PVH
891,TSCO
892,MAT
893,WOOF
894,CLNS
895,LBTYA
896,ALLE
897,AVY
898,IAC
900,AES
901,MIDD
902,AYI
903,SBNY
904,VER
905,LDOS
906,WR
907,JBHT
908,TTC
909,BERY
910,SRCL
911,CPT
912,JBLU
914,COMM
915,PF
916,M
917,RPM
918,GLPI
919,AFG
920,KEYS
921,MKTX
922,PE
923,KRC
924,PKI
925,MAC
926,WAB
927,AXTA
928,NFX
929,AGNC
930,ST
931,LII
932,WPC
933,OC
934,PNRA
935,MAN
936,BURL
937,NDSN
938,LEG
939,MRVL
940,TTWO
941,OGE
942,TER
943,ELS
944,AIV
945,ARW
947,VMW
948,VOYA
949,SEIC
950,OHI
951,CSL
952,WRB
953,KSS
954,PHM
955,SPR
956,CF
957,SNI
958,FLR
959,ADNT
960,JEC
962,LSXMK
963,FLS
964,ON
965,ULTI
966,FDS
967,SSNC
968,NYCB
970,GGG
971,HP
972,LPT
973,LW
974,ACC
975,ALSN
976,GRMN
977,GXP
978,DCI
979,ANET
980,CPRT
981,SCI
982,WBC
983,PTC
985,FTNT
986,KAR
987,HUBB
988,KORS
989,ODFL
990,SPLS
991,MIC
992,VEEV
993,RHI
994,XRX
995,LAMR
996,PBCT
997,AIZ
998,PACW
999,LAZ
1000,DEI
1002,WTR
1003,SUI
1004,STWD
1005,AXS
1006,LBRDK
1007,OA
1008,TYL
1009,MSCC
1010,RNR
1012,NNN
1013,BBBY
1014,GNTX
1015,TOL
1016,DISCK
1017,JBL
1018,ZBRA
1019,LULU
1020,RGLD
1021,RS
1022,BAH
1023,BRCD
1024,POST
1025,LECO
1027,EGN
1028,HRB
1029,MDU
1031,AMH
1032,SIX
1033,PII
1034,IPGP
1036,OLN
1037,GPS
1038,SNH
1039,ARRS
1040,JLL
1041,OLED
1042,HPP
1043,EV
1044,SON
1045,FLIR
1046,HUN
1047,ATR
1048,VVC
1049,DNKN
1050,AGO
1051,CFR
1052,HIW
1053,SNV
1054,NRZ
1056,ACM
1057,HLF
1058,BC
1059,TRIP
1060,WPX
1061,BRO
1062,NCR
1063,DCT
1064,SABR
1066,NWSA
1067,SERV
1068,WFT
1069,FCEA
1070,POOL
1071,ORI
1072,NFG
1073,HPT
